Tail_Number,count,Tail_Number_Grupo
N522AE,6252,3
N130HQ,6251,3
N298JB,6251,3
N249JB,6251,3
N926EV,6250,3
N141SY,6250,3
N619AE,6249,3
N317FR,6249,3
N429SW,6246,3
N620NK,6245,3
N322FR,6243,3
N8303R,6240,3
N118HQ,6240,3
N8316H,6239,3
N857RW,6238,3
N748SK,6238,3
N150SY,6238,3
N233FR,6237,3
N313FR,6236,3
N8312C,6235,3
N641NK,6235,3
N8317M,6234,3
N274JB,6234,3
N111HQ,6233,3
N192JB,6233,3
N601EN,6232,3
N230FR,6231,3
N8314L,6231,3
N124SY,6228,3
N920XJ,6228,3
N932EV,6228,3
N121SY,6227,3
N8583Z,6225,3
N203JB,6223,3
N606NK,6223,3
N924XJ,6222,3
N923EV,6221,3
N428AW,6220,3
N607LR,6219,3
N8318F,6218,3
N637QX,6217,3
N523AE,6216,3
N608NK,6215,3
N762SK,6215,3
N640NK,6215,3
N607NK,6213,3
N107SY,6213,3
N312FR,6212,3
N479CA,6212,3
N228JB,6210,3
254NV,6208,3
N533AE,6207,3
N520DC,6207,3
N325PQ,6206,3
N208WN,6206,3
N8319F,6206,3
N8323C,6205,3
N324JB,6203,3
N506AE,6203,3
N337JB,6202,3
N112HQ,6202,3
N114SY,6200,3
N521AE,6200,3
N8328A,6199,3
N470ZW,6198,3
N153SY,6192,3
N8974C,6192,3
N504AE,6188,3
N758SK,6187,3
N630SK,6187,3
N613NK,6186,3
N320PQ,6186,3
N128SY,6185,3
N8302F,6185,3
255NV,6185,3
N424YX,6182,3
N705PS,6181,3
N506CA,6181,3
N309FR,6177,3
N132HQ,6176,3
N608LM,6176,3
N931XJ,6175,3
N716PS,6175,3
N429AW,6173,3
N919XJ,6171,3
N11176,6170,3
N432AW,6170,3
N101HQ,6169,3
N535EA,6169,3
N148SY,6169,3
N605NK,6168,3
N467AW,6167,3
N639QX,6167,3
N709SK,6167,3
N509AE,6167,3
N922XJ,6164,3
N541EA,6163,3
N117HQ,6162,3
N283JB,6162,3
N695CA,6162,3
N708SK,6161,3
N457SW,6160,3
N614NK,6159,3
N612AS,6158,3
N603NN,6156,3
N952LR,6155,3
N654NK,6155,3
N314PQ,6155,3
N127HQ,6153,3
N319PQ,6152,3
N198JB,6151,3
N612NK,6151,3
N416YX,6148,3
N722EV,6148,3
N665BC,6148,3
N638QX,6147,3
N308PQ,6145,3
N927XJ,6143,3
N368JB,6140,3
N8896A,6140,3
N8301J,6140,3
N751SK,6137,3
N273JB,6137,3
N702PS,6128,3
N308FR,6127,3
N318JB,6126,3
N936AT,6125,3
N538EG,6124,3
N292JB,6124,3
N529EA,6124,3
N618NK,6123,3
N354JB,6122,3
N323JB,6122,3
N600LR,6121,3
N903EV,6121,3
N607CZ,6119,3
N536EA,6119,3
N455SW,6119,3
N309PQ,6117,3
N124HQ,6117,3
N908XJ,6116,3
N452SW,6116,3
N641QX,6111,3
N913EV,6111,3
N916EV,6108,3
N132SY,6107,3
N8315C,6107,3
N433AW,6105,3
N247NN,6105,3
N411YX,6104,3
N355JB,6104,3
N886AS,6104,3
N627NK,6102,3
N109SY,6101,3
N959LR,6098,3
N637RW,6098,3
N7826B,6096,3
N8970D,6096,3
N920EV,6096,3
N103SY,6095,3
N953SW,6093,3
N449SW,6092,3
N14177,6091,3
N437SW,6089,3
N433SW,6088,3
N601NK,6086,3
N441ZW,6086,3
N455AW,6085,3
N122HQ,6084,3
N932AT,6082,3
N432SW,6080,3
N416AW,6078,3
N915EV,6077,3
N507AE,6076,3
N900EV,6075,3
N8976E,6072,3
N751EV,6072,3
N213SY,6070,3
N538CA,6069,3
N605LR,6068,3
N494CA,6068,3
N974AT,6067,3
N794SK,6066,3
N516AE,6066,3
N373JB,6065,3
N927SW,6064,3
N459AW,6062,3
N424AW,6062,3
N958LR,6061,3
N231JB,6060,3
N279JB,6058,3
N604NN,6058,3
N643QX,6056,3
N453AW,6055,3
N14179,6055,3
N460AW,6055,3
N329JB,6054,3
N423AW,6053,3
N329PQ,6053,3
N602NK,6053,3
N938AT,6050,3
N134HQ,6050,3
N136HQ,6049,3
N302PQ,6049,3
N524AE,6047,3
N7821L,6047,3
N431SW,6044,3
N970AT,6043,3
N33182,6043,3
N930XJ,6043,3
N425YX,6042,3
N724SK,6042,3
N988AT,6042,3
N420AW,6041,3
N957LR,6041,3
N543EA,6040,3
N610AE,6038,3
N456ZW,6038,3
N756SK,6037,3
N440YX,6033,3
N266JB,6032,3
N232FR,6031,3
N406YX,6031,3
N147PQ,6031,3
N702SK,6031,3
N758EV,6029,3
N986AT,6027,3
250NV,6026,3
N570WN,6025,3
N328JB,6025,3
N431AW,6025,3
N693CA,6022,3
N313PQ,6022,3
N193JB,6020,3
N143SY,6020,3
N8928A,6019,3
N466AW,6019,3
N954SW,6018,3
N7885A,6017,3
N766SK,6013,3
N12160,6012,3
N615NK,6011,3
N439YX,6010,3
N11181,6009,3
N7837A,6008,3
N16183,6007,3
N326FR,6006,3
N208AN,6005,3
N248NN,6004,3
N436YX,6002,3
N8986B,6000,3
N454SW,6000,3
N427YX,5999,3
N186PQ,5998,3
N429YX,5997,3
N454AW,5994,3
N265JB,5991,3
N8847A,5991,3
N21154,5989,3
N247JB,5987,3
N419AW,5986,3
N953LR,5986,3
N211FR,5986,3
N419YX,5986,3
N410AW,5985,3
N750SK,5984,3
N809CA,5983,3
N951SW,5982,3
N631SK,5981,3
N826SK,5980,3
N603NK,5980,3
N442YX,5980,3
N250NN,5979,3
N213FR,5979,3
N759EV,5978,3
N203NN,5978,3
N527EA,5978,3
N726SK,5977,3
N348JB,5977,3
N207AN,5976,3
N244LR,5975,3
N760EV,5974,3
N719SK,5973,3
N710SK,5972,3
N330FR,5971,3
N190JB,5971,3
N441SW,5971,3
N906XJ,5969,3
N105SY,5967,3
246NV,5967,3
N718SK,5965,3
N263WN,5965,3
N930EV,5963,3
N255NN,5962,3
N687JS,5962,3
N431YX,5960,3
N317JB,5960,3
N500AE,5958,3
N284JB,5958,3
N305FR,5957,3
N642QX,5956,3
N604LR,5955,3
N447YX,5954,3
N204NN,5954,3
N404YX,5953,3
N644QX,5953,3
N200NN,5951,3
N465AW,5951,3
N132EV,5951,3
N728SK,5950,3
N633SK,5950,3
N469AW,5949,3
N915XJ,5947,3
N453SW,5946,3
N681NK,5944,3
N210FR,5944,3
N461AW,5943,3
N678CA,5943,3
N874AS,5943,3
N420YX,5943,3
N17169,5942,3
N602NN,5941,3
N706SK,5938,3
N732SK,5938,3
N417YX,5938,3
N410YX,5937,3
N421YX,5935,3
N328FR,5935,3
249NV,5933,3
N673NK,5933,3
N422YX,5932,3
N917FJ,5931,3
N304FR,5929,3
247NV,5928,3
N765SK,5927,3
N468CA,5925,3
N426YX,5924,3
N753SK,5923,3
N187PQ,5921,3
N601XJ,5918,3
N440SW,5918,3
N804HC,5918,3
N306JB,5915,3
N229JB,5914,3
N798SW,5913,3
N412YX,5912,3
N675NK,5912,3
N727SK,5911,3
N243NN,5911,3
N246LR,5911,3
N604NK,5911,3
N261NN,5910,3
N443AW,5910,3
N303FR,5910,3
N206WN,5909,3
N788SA,5906,3
N625AE,5905,3
N7838A,5904,3
N603KC,5904,3
N216FR,5904,3
N401YX,5900,3
N310PQ,5898,3
N604CZ,5898,3
N464SW,5897,3
N444YX,5895,3
N260NN,5893,3
N879AS,5892,3
N256NN,5892,3
N471ZW,5889,3
N8836A,5889,3
N761ND,5889,3
N434YX,5887,3
N245NN,5883,3
N296JB,5882,3
N428YX,5878,3
N304JB,5878,3
N645QX,5878,3
N417AW,5877,3
N408YX,5877,3
N435YX,5875,3
N953AT,5873,3
N914XJ,5872,3
N326PQ,5871,3
N216WR,5871,3
N316JB,5870,3
N647QX,5868,3
N632SK,5867,3
N763SK,5867,3
N241NN,5867,3
N251NN,5866,3
N244NN,5866,3
N602LR,5865,3
N445YX,5862,3
N682NK,5862,3
N678NK,5860,3
N925EV,5859,3
N306PQ,5859,3
N409YX,5857,3
N660NK,5857,3
N426AW,5857,3
N609SK,5855,3
N415YX,5854,3
N754SK,5854,3
N931EV,5852,3
N889AS,5852,3
N625CA,5851,3
N253NN,5849,3
N11191,5849,3
N13161,5847,3
N802SK,5843,3
N832SK,5839,3
N447SW,5839,3
N413AW,5837,3
N195PQ,5835,3
N239NN,5834,3
N703SK,5833,3
N746SK,5832,3
N414YX,5832,3
N909XJ,5832,3
N209NN,5830,3
N813SK,5826,3
N831SK,5825,3
N611SK,5825,3
N405YX,5824,3
N446YX,5823,3
N793SA,5823,3
N458AW,5822,3
N608SK,5820,3
N258NN,5819,3
N907XJ,5819,3
N176PQ,5819,3
N607AT,5818,3
N740SK,5815,3
N252NN,5812,3
N905NK,5811,3
N257NN,5810,3
N940AT,5810,3
N755SK,5809,3
N914EV,5808,3
N418YX,5806,3
N674NK,5806,3
N601LR,5805,3
N918FJ,5804,3
N742SK,5803,3
N206NN,5801,3
N443YX,5801,3
N964AT,5800,3
N181GJ,5800,3
N441YX,5798,3
N450AW,5797,3
N442AW,5796,3
N548CA,5795,3
N423YX,5794,3
N407YX,5793,3
N605NN,5792,3
N205NN,5791,3
N903NK,5791,3
N911FJ,5790,3
N161PQ,5788,3
N8942A,5788,3
N776SK,5786,3
N170PQ,5786,3
252NV,5783,3
N744EV,5782,3
N748EV,5782,3
N437YX,5781,3
N413YX,5781,3
N462AW,5780,3
N238JB,5779,3
N955SW,5778,3
N201NN,5775,3
N603CZ,5775,3
N930LR,5773,3
N771SK,5773,3
N210NN,5772,3
N676NK,5772,3
N438YX,5772,3
N646QX,5770,3
N307FR,5769,3
N197JB,5769,3
N744SK,5769,3
N432YX,5766,3
N477CA,5764,3
N242NN,5764,3
N738SK,5763,3
N689CA,5763,3
N202NN,5762,3
N133EV,5762,3
N955LR,5760,3
N254NN,5759,3
N917XJ,5759,3
N667NK,5756,3
N263NN,5755,3
N227FR,5754,3
N435AW,5753,3
N705SK,5753,3
N162PQ,5753,3
N326MS,5751,3
N403YX,5748,3
N609DP,5748,3
N944SW,5747,3
N408AW,5747,3
N329FR,5746,3
N604SK,5746,3
N950LR,5746,3
N774SW,5745,3
N713SK,5744,3
N267JB,5744,3
N934FJ,5743,3
N824SK,5742,3
N602AE,5741,3
N613AE,5741,3
N817SK,5736,3
N603SK,5736,3
N136EV,5735,3
N672NK,5733,3
N685BR,5731,3
N606LR,5729,3
N715SK,5728,3
N827SK,5726,3
N764SK,5726,3
N925FJ,5725,3
N607SK,5723,3
N780SW,5723,3
N463SW,5721,3
N438SW,5721,3
N8943A,5721,3
N240NN,5720,3
N671NK,5719,3
N908SW,5719,3
N745SK,5718,3
N905J,5717,3
N915FJ,5717,3
N680NK,5715,3
N232PQ,5713,3
N430YX,5710,3
N501BG,5709,3
N311FR,5705,3
N225NN,5705,3
N309JB,5704,3
N821SK,5702,3
N669NK,5700,3
N809SK,5699,3
N433YX,5699,3
N223NN,5699,3
N668NK,5698,3
N415AW,5697,3
N438AW,5695,3
N692CA,5694,3
N606SK,5691,3
N786SW,5690,3
N908FJ,5690,3
N829SK,5689,3
N929XJ,5689,3
N822SK,5688,3
N16147,5685,3
N665NK,5684,3
N691CA,5684,3
N602XJ,5684,3
N885AS,5682,3
N229NN,5680,3
N663NK,5677,3
N7861J,5676,3
N402YX,5675,3
N662NK,5675,3
N246NN,5671,3
N803SK,5669,3
N262NN,5669,3
N13202,5669,3
N11193,5667,3
N910XJ,5666,3
N805HC,5666,3
N687NK,5663,3
N14186,5662,3
N14143,5661,3
N249NN,5660,3
N236NN,5659,3
N677NK,5657,3
N730SK,5654,3
N8933B,5653,3
N902FJ,5651,3
N411ZW,5645,3
N878AS,5642,3
N230NN,5639,3
N11150,5638,3
N224NN,5636,3
N760SK,5636,3
N679NK,5630,3
N904NK,5629,3
N707SK,5628,3
N954LR,5626,3
N664NK,5626,3
N659NK,5625,3
N554CA,5624,3
N443SW,5624,3
N449AW,5623,3
N719FR,5623,3
N918XJ,5623,3
N301FR,5623,3
N418AW,5621,3
N14174,5621,3
230NV,5618,3
N679CA,5615,3
N948LR,5614,3
N600BP,5612,3
N752EV,5610,3
N220NN,5608,3
N686NK,5607,3
N784SW,5607,3
N783SW,5605,3
N8891A,5603,3
N739GB,5603,3
N206JB,5602,3
N134EV,5599,3
N868AS,5599,3
N938LR,5598,3
N750EV,5598,3
N873AS,5597,3
N12175,5596,3
N8968E,5596,3
N875AS,5595,3
N216JB,5594,3
N211NN,5594,3
N656NK,5593,3
N8980A,5593,3
N774SK,5591,3
N375JB,5588,3
N820SK,5586,3
N704FR,5584,3
N641CA,5583,3
N430AW,5582,3
N331FR,5581,3
N212NN,5580,3
N713SW,5579,3
N670NK,5574,3
N430SW,5574,3
N329MS,5574,3
N716SK,5573,3
N184GJ,5572,3
N238FR,5571,3
N658NK,5570,3
N767SK,5569,3
N777QC,5566,3
N237NN,5563,3
N770SA,5560,3
N178JB,5560,3
N730EV,5559,3
232NV,5558,3
N245LR,5558,3
N657NK,5556,3
N944LR,5554,3
N137EV,5553,3
N231AN,5553,3
N833SK,5552,3
N14168,5551,3
N238NN,5550,3
N770SK,5550,3
N740EV,5548,3
N655NK,5543,3
N439AW,5538,3
N326DN,5538,3
N876AS,5534,3
N183JB,5531,3
N14153,5530,3
N605KS,5529,3
N234JW,5529,3
N753EV,5527,3
N12142,5523,3
N452AW,5522,3
N776WN,5519,3
N8965E,5518,3
N7889A,5517,3
N830SK,5515,3
N259NN,5514,3
N607AE,5513,3
N914FJ,5509,3
N791SW,5508,3
N902NK,5507,3
N869RW,5507,3
N810MD,5505,3
N706FR,5505,3
N327DN,5503,3
N447AW,5502,3
N320DN,5499,3
N14198,5499,3
N834SK,5499,3
N946LR,5499,3
N920FJ,5494,3
N440AW,5493,3
N916WN,5492,3
N12195,5492,3
N604AE,5491,3
N235NN,5490,3
N818MD,5487,3
N226NN,5483,3
N11199,5482,3
N894UA,5482,3
N778SW,5482,3
N895UA,5480,3
N221NN,5480,3
N16151,5479,3
N336DX,5478,3
N805SK,5477,3
N295SY,5475,3
N715FR,5474,3
N778SK,5474,3
N825SK,5474,3
N294SY,5470,3
N904FJ,5470,3
N907SW,5469,3
N871RW,5468,3
N916XJ,5462,3
N334FR,5462,3
N293SY,5458,3
N755EV,5457,3
N549CA,5455,3
N713FR,5455,3
N534AE,5452,3
N606NN,5448,3
N246PS,5445,3
N835AW,5443,3
N916FJ,5440,3
N11194,5439,3
N815MD,5439,3
N12157,5439,3
N446AW,5437,3
N435SW,5432,3
N921XJ,5430,3
N804SK,5430,3
N704SW,5428,3
N340DN,5426,3
N801HC,5424,3
N328DN,5422,3
N613SK,5420,3
N705FR,5411,3
N323DN,5409,3
N265NN,5407,3
N913XJ,5405,3
N702FR,5401,3
N700GS,5401,3
N925XJ,5398,3
N614SK,5398,3
N227NN,5397,3
N684NK,5396,3
N661NK,5395,3
N685NK,5392,3
N607NN,5390,3
N8903A,5389,3
N339DN,5387,3
N893UA,5386,3
N683NK,5385,3
N825UA,5381,3
N837AW,5380,3
N800SK,5377,3
N236JB,5376,3
N752US,5374,3
N706SW,5373,3
N487CA,5371,3
N823MD,5366,3
N928EV,5363,3
N710SW,5360,3
N824MD,5359,3
N870RW,5359,3
N902XJ,5358,3
N131EV,5355,3
N709FR,5354,3
233NV,5353,3
N8886A,5352,3
N906FJ,5352,3
N228NN,5350,3
N427ZW,5350,3
N750UW,5349,3
N918SW,5349,3
N845UA,5348,3
N831UA,5347,3
N652BR,5345,3
N436AW,5344,3
N872RW,5343,3
N317CA,5343,3
N741EV,5342,3
N7834A,5342,3
N17146,5341,3
N412AW,5341,3
N7817J,5338,3
N338DN,5337,3
N318DX,5337,3
N7882B,5337,3
N335FR,5337,3
N690NK,5337,3
N325DN,5336,3
N867RW,5330,3
N205FR,5329,3
N812AW,5328,3
N329DN,5327,3
N751UW,5327,3
N451AW,5323,3
N233NN,5322,3
N701GS,5322,3
N110UW,5320,3
N321DH,5320,3
N448AW,5316,3
N811UA,5316,3
N463AW,5315,3
N341DN,5313,3
256NV,5312,3
N525AE,5309,3
N838AW,5306,3
N878RW,5306,3
N742SW,5306,3
N346DN,5305,3
N762US,5305,3
N319DN,5303,3
N232NN,5303,3
N816AW,5302,3
N833UA,5302,3
N14204,5300,3
N927LR,5299,3
N852UA,5297,3
N708FR,5295,3
N417SW,5292,3
234NV,5287,3
N742PS,5287,3
N107US,5286,3
N119US,5284,3
N8969A,5282,3
N334DN,5278,3
N331DN,5276,3
N924FJ,5276,3
N846UA,5275,3
N829UA,5275,3
N905WN,5275,3
N8932C,5272,3
N901XJ,5272,3
N331CA,5270,3
N85355,5270,3
N8837B,5269,3
N89315,5268,3
N844UA,5268,3
N768SK,5266,3
N135EV,5266,3
N544EA,5265,3
N908EV,5263,3
N890UA,5263,3
N11187,5263,3
N661AW,5261,3
N296SY,5260,3
N896UA,5255,3
N375NC,5252,3
N744P,5251,3
N207FR,5250,3
N912XJ,5248,3
N773SK,5247,3
N823UA,5247,3
N910FJ,5247,3
N206FR,5247,3
N335DN,5246,3
N809UA,5246,3
N892UA,5245,3
N662AW,5244,3
N824UA,5243,3
N669AW,5241,3
223NV,5241,3
N12136,5241,3
N85356,5238,3
N302DN,5236,3
N445AW,5235,3
N330DX,5235,3
N821UA,5232,3
218NV,5231,3
N939AT,5231,3
N660AW,5230,3
N138EV,5230,3
N745VJ,5229,3
N324DX,5228,3
N87353,5228,3
N86347,5226,3
N342DN,5225,3
N214NN,5224,3
N853UA,5222,3
N103US,5217,3
N919FJ,5215,3
N14173,5213,3
N390CA,5213,3
N673AW,5213,3
N317DN,5213,3
N858AE,5213,3
N724UW,5212,3
N648QX,5212,3
N314DN,5211,3
N823SK,5211,3
N336FR,5210,3
N21197,5209,3
N659AW,5208,3
N332DN,5208,3
N12172,5207,3
N966AT,5207,3
N772SK,5203,3
N267NN,5199,3
N88359,5199,3
N826UA,5199,3
N315DN,5197,3
N85354,5196,3
N27190,5195,3
N851UA,5193,3
N87337,5193,3
N721FR,5192,3
N337DN,5192,3
N182GJ,5187,3
N848UA,5186,3
N723SW,5184,3
222NV,5182,3
N830UA,5182,3
N117UW,5182,3
N822UA,5182,3
N304DN,5180,3
N8775A,5176,3
N720FR,5174,3
N348DN,5171,3
N898SK,5170,3
N722US,5170,3
N332FR,5168,3
N916SW,5165,3
N114UW,5164,3
N333DX,5164,3
N264NN,5163,3
N123UW,5160,3
N904XJ,5159,3
N608NN,5158,3
N89313,5158,3
N901NK,5158,3
N857AE,5157,3
N832UA,5156,3
N84307,5155,3
N718FR,5155,3
N301DV,5153,3
N85352,5153,3
N125UW,5153,3
N918WN,5153,3
N935LR,5152,3
N915SW,5151,3
N297SY,5149,3
N769US,5149,3
N350DN,5149,3
N879RW,5146,3
N809AW,5145,3
N889UA,5145,3
N316DN,5145,3
N313DN,5144,3
N898UA,5144,3
N741SA,5143,3
N924AT,5140,3
N354NB,5139,3
N322DN,5139,3
N725UW,5136,3
N741UW,5135,3
N21129,5134,3
N368CA,5134,3
N80348,5132,3
N437AW,5132,3
N8683B,5132,3
N86316,5129,3
N339FR,5129,3
N981EV,5129,3
N712FR,5129,3
N378NW,5128,3
N649QX,5126,3
N221PS,5125,3
N909FJ,5125,3
N816SK,5123,3
N691NK,5123,3
N749US,5122,3
N118US,5121,3
N14125,5120,3
N86350,5119,3
N824AW,5117,3
N732US,5116,3
N767UW,5114,3
N303DN,5112,3
257NV,5112,3
N88331,5110,3
N345DN,5108,3
N88310,5106,3
N86309,5105,3
N817AW,5104,3
231NV,5103,3
N269NN,5103,3
N217NN,5102,3
N836AW,5102,3
N711UW,5100,3
216NV,5100,3
N921AT,5100,3
N88328,5097,3
N87360,5093,3
N821AW,5093,3
N12163,5092,3
N127UW,5091,3
N128UW,5089,3
N921WN,5089,3
N503NK,5088,3
N222NS,5088,3
N409AW,5088,3
N7718B,5087,3
N757UW,5086,3
N105UW,5086,3
N228FR,5085,3
N370NB,5081,3
N352NB,5081,3
N86311,5080,3
N112US,5080,3
N86322,5078,3
N919AT,5077,3
N183GJ,5075,3
N823AW,5075,3
N317NB,5074,3
N229FR,5074,3
N126UW,5073,3
N353NW,5071,3
N102UW,5069,3
N994AT,5068,3
N213NN,5066,3
N272NN,5063,3
N805AW,5058,3
N218NN,5057,3
N680AW,5057,3
N754UW,5056,3
N109UW,5054,3
N714FR,5054,3
N108UW,5052,3
N85358,5052,3
N601AW,5051,3
N266NN,5051,3
N909EV,5050,3
N716UW,5048,3
N13124,5047,3
N827UA,5043,3
N804AW,5042,3
N733UW,5041,3
N692NK,5041,3
N519LR,5040,3
N341FR,5039,3
N947LR,5037,3
N86312,5035,3
N338FR,5033,3
N535NK,5031,3
N891UA,5030,3
N7717D,5029,3
N758US,5029,3
N21144,5027,3
N86344,5024,3
N87318,5023,3
N354NW,5022,3
N808AW,5020,3
N609NN,5017,3
N337FR,5016,3
N353NB,5014,3
N714US,5014,3
N333NB,5011,3
N398CA,5010,3
N83329,5009,3
N363NW,5008,3
N717UW,5003,3
N88335,5001,3
N492SW,5001,3
N806SK,5001,3
N530NK,5000,3
N337NB,4998,3
N814UA,4998,3
N715UW,4997,3
N17138,4995,3
N104UW,4994,3
N802UA,4994,3
N716FR,4993,3
N364NW,4993,3
N896SK,4991,3
N88330,4990,3
N723UW,4990,3
N367CA,4989,3
N934AT,4989,3
N87345,4987,3
N921FJ,4986,3
N271NN,4984,3
316NV,4983,3
N23139,4983,3
N711FR,4980,3
N653AW,4979,3
N819UA,4979,3
N111US,4979,3
N928LR,4978,3
N259PS,4978,3
N377NW,4977,3
N922FJ,4977,3
N365NW,4977,3
309NV,4975,3
N85320,4974,3
N82338,4973,3
N344DN,4973,3
N903FJ,4971,3
N701FR,4970,3
N582UW,4970,3
N657AW,4969,3
N80343,4968,3
N318NB,4968,3
N89317,4968,3
N373NW,4967,3
N351NB,4966,3
N268NN,4966,3
N376CA,4965,3
N88326,4964,3
N903XJ,4964,3
N82333,4964,3
N668AW,4963,3
N693NK,4961,3
N913FJ,4960,3
N361NW,4957,3
N321US,4957,3
N336NB,4957,3
N350NA,4956,3
N14148,4954,3
N899UA,4953,3
N664AW,4953,3
N747UW,4952,3
N332NW,4947,3
312NV,4944,3
N326NB,4943,3
N371CA,4943,3
N89342,4943,3
N802AW,4943,3
N756US,4942,3
N827AW,4942,3
N352NW,4939,3
N215NN,4938,3
N82314,4938,3
N305DN,4937,3
N124US,4935,3
N779CA,4933,3
N85351,4933,3
N754EV,4933,3
N812UA,4933,3
N813AW,4930,3
N322NB,4929,3
240NV,4929,3
N694NK,4926,3
N934SW,4925,3
N836SK,4924,3
N650QX,4924,3
N7719A,4924,3
N523NK,4923,3
N87319,4921,3
N834UA,4920,3
N755US,4920,3
N768US,4919,3
N88332,4919,3
N340CA,4917,3
N89304,4915,3
N808UA,4915,3
N529NK,4912,3
N312US,4910,3
N365NB,4910,3
N7716A,4906,3
N88327,4905,3
N816UA,4901,3
N847UA,4899,3
311NV,4896,3
N658AW,4896,3
N534NK,4896,3
N12145,4894,3
N935XJ,4894,3
N710FR,4894,3
N86336,4893,3
N320NB,4893,3
N249LR,4891,3
N87302,4891,3
N832AW,4891,3
N242LR,4891,3
N502NK,4888,3
N840AW,4888,3
N854UA,4887,3
N818UA,4883,3
N828UA,4883,3
N836UA,4880,3
N527NK,4878,3
N522NK,4878,3
N87306,4874,3
N89349,4868,3
N658CA,4867,3
N656CA,4866,3
N663AW,4865,3
N814AW,4864,3
N343DN,4862,3
N270NN,4861,3
N342FR,4861,3
N366NB,4859,3
N712US,4859,3
N359NW,4858,3
N837SK,4857,3
N807AW,4854,3
N721UW,4854,3
N822AW,4852,3
N536NK,4848,3
N700UW,4848,3
N219NN,4846,3
N897SK,4845,3
N647AW,4844,3
N652AW,4844,3
N834AW,4843,3
N248LR,4843,3
N334NW,4842,3
N330NB,4841,3
N24128,4840,3
N89357,4840,3
N801AW,4840,3
N860RW,4840,3
N223JS,4840,3
217NV,4837,3
N766US,4835,3
N651AW,4834,3
N604AW,4834,3
N819AW,4833,3
N748UW,4833,3
N826AW,4832,3
305NV,4830,3
N835UA,4829,3
215NV,4828,3
N275NN,4825,3
N587UW,4822,3
N345NW,4820,3
N121UW,4820,3
N86334,4815,3
N31131,4812,3
N737US,4811,3
N468UA,4809,3
N668CA,4808,3
N467UA,4803,3
N839AW,4802,3
308NV,4802,3
229NV,4802,3
N352DN,4802,3
N337NW,4799,3
N579UW,4796,3
N932LR,4795,3
N704US,4792,3
N701UW,4789,3
N16149,4789,3
N510MJ,4789,3
N770UW,4788,3
329NV,4788,3
N817UA,4787,3
N374NW,4786,3
N465UA,4784,3
N274NN,4783,3
N344FR,4783,3
N730US,4782,3
N820AW,4780,3
N8783E,4779,3
258NV,4778,3
N952SW,4775,3
N532NK,4775,3
324NV,4772,3
N753US,4772,3
N363NB,4769,3
N344NW,4769,3
N528NK,4769,3
N306DN,4768,3
330NV,4768,3
N349NB,4767,3
N655CA,4767,3
N360NB,4763,3
N298SY,4760,3
N241LR,4759,3
N531NK,4759,3
N936XJ,4759,3
N916US,4759,3
N89321,4759,3
N319NB,4759,3
N85323,4757,3
N371NW,4757,3
N414ZW,4756,3
N533NK,4755,3
N830AW,4754,3
N931LR,4754,3
N88346,4754,3
N656AW,4753,3
N340NW,4751,3
N11106,4747,3
N11113,4747,3
N905XJ,4744,3
N88325,4743,3
N971UY,4742,3
N525NK,4742,3
N586UW,4740,3
N939LR,4740,3
N391CA,4739,3
N924US,4738,3
N333NW,4738,3
N820UA,4736,3
N610CZ,4732,3
N838SK,4732,3
N364DX,4729,3
N366NW,4727,3
N912UY,4727,3
N196UW,4725,3
N897UA,4724,3
N353DN,4721,3
N444ZW,4720,3
N355NB,4720,3
N369NB,4719,3
N852AE,4719,3
N88301,4718,3
N331NW,4716,3
N273NN,4716,3
N594SW,4716,3
N453UA,4715,3
N459UA,4715,3
N519NK,4715,3
N457UA,4714,3
N951LR,4714,3
N504NK,4713,3
N360NW,4712,3
N912FJ,4711,3
N321NB,4710,3
N462UA,4707,3
N485UA,4706,3
N299SY,4706,3
N709UW,4705,3
N216NN,4705,3
N488UA,4704,3
N927UW,4702,3
N87339,4701,3
219NV,4700,3
N705UW,4697,3
N760US,4696,3
N922US,4695,3
N651QX,4695,3
N300SY,4693,3
N460UA,4692,3
261NV,4692,3
N763US,4691,3
N553WN,4690,3
N746UW,4689,3
N806AW,4688,3
N88341,4687,3
N265AK,4686,3
N702UW,4686,3
N764US,4686,3
N915US,4686,3
N316NB,4685,3
N11137,4683,3
N490UA,4683,3
N376NW,4681,3
N347NW,4680,3
N361DN,4677,3
N833AW,4675,3
N611NN,4674,3
N356DN,4673,3
N357DN,4671,3
N343FR,4671,3
224NV,4669,3
N355NW,4668,3
N464UA,4668,3
N86324,4665,3
N360DN,4664,3
N349NW,4660,3
N354DN,4659,3
N276NN,4659,3
N13132,4658,3
N713UW,4657,3
N650AW,4657,3
N917UY,4655,3
N277NN,4654,3
N612NN,4654,3
N930AT,4653,3
325NV,4651,3
N329NB,4651,3
N524NK,4650,3
N828AW,4650,3
N695NK,4650,3
331NV,4648,3
313NV,4647,3
N195UW,4646,3
N359DN,4645,3
N521NK,4645,3
N581UW,4643,3
N356NW,4643,3
N347NB,4643,3
N765US,4640,3
N351DN,4637,3
N358DN,4637,3
N469UA,4636,3
N932XJ,4636,3
N335NB,4634,3
N708UW,4633,3
N358NW,4631,3
N198UW,4630,3
N740UW,4628,3
N283AK,4628,3
N925UY,4624,3
N410UA,4623,3
N518LR,4623,3
N279MQ,4621,3
N831AE,4620,3
N348NB,4618,3
N14158,4618,3
N408UA,4617,3
N122US,4616,3
N346FR,4614,3
